id,raw_snap_id,name,year,category,institution
0,1001,Paper_1001,2002,Astrophysics,CERN
1,1002,Paper_1002,2003,String Theory,Caltech
2,1004,Paper_1004,1995,Quantum Gravity,MIT
3,1005,Paper_1005,2002,Particle Physics,Max Planck
4,1008,Paper_1008,1993,Cosmology,Oxford
5,1009,Paper_1009,1992,Astrophysics,MIT
6,1011,Paper_1011,1995,Quantum Gravity,Max Planck
7,1019,Paper_1019,2001,Astrophysics,Max Planck
8,1021,Paper_1021,1995,Particle Physics,Max Planck
9,1028,Paper_1028,1998,Quantum Gravity,ETH Zurich
10,1031,Paper_1031,2001,String Theory,CERN
11,1032,Paper_1032,1994,Particle Physics,Oxford
12,1034,Paper_1034,1997,String Theory,Stanford
13,1037,Paper_1037,1995,String Theory,MIT
14,1038,Paper_1038,1993,High Energy Physics,MIT
15,1039,Paper_1039,1997,String Theory,Harvard
16,1040,Paper_1040,1996,Astrophysics,ETH Zurich
17,1043,Paper_1043,2000,Astrophysics,Oxford
18,1044,Paper_1044,1993,Cosmology,Cambridge
19,1046,Paper_1046,2002,Cosmology,Princeton
20,1048,Paper_1048,2001,Quantum Gravity,MIT
21,1051,Paper_1051,1992,Particle Physics,Caltech
22,1053,Paper_1053,1996,Astrophysics,Caltech
23,1056,Paper_1056,1993,High Energy Physics,Cambridge
24,1057,Paper_1057,1999,Particle Physics,Princeton
25,1059,Paper_1059,1994,String Theory,Princeton
26,1062,Paper_1062,1995,Particle Physics,Cambridge
27,1069,Paper_1069,2003,Particle Physics,MIT
28,1072,Paper_1072,2001,Particle Physics,Stanford
29,1073,Paper_1073,2000,Particle Physics,Caltech
30,1074,Paper_1074,1994,High Energy Physics,Oxford
31,1075,Paper_1075,1996,Particle Physics,Max Planck
32,1080,Paper_1080,1995,Particle Physics,Princeton
33,1083,Paper_1083,1992,Quantum Gravity,CERN
34,1084,Paper_1084,1997,High Energy Physics,Cambridge
35,1086,Paper_1086,1993,Quantum Gravity,Harvard
36,1087,Paper_1087,2003,String Theory,Caltech
37,1088,Paper_1088,2002,High Energy Physics,Oxford
38,1090,Paper_1090,2002,High Energy Physics,Stanford
39,1092,Paper_1092,1996,Quantum Gravity,Caltech
40,1093,Paper_1093,2003,Cosmology,Max Planck
41,1095,Paper_1095,1996,Particle Physics,Harvard
42,1096,Paper_1096,1998,Cosmology,Oxford
43,1098,Paper_1098,1997,Quantum Gravity,Stanford
44,1100,Paper_1100,2000,High Energy Physics,MIT
45,1101,Paper_1101,1992,Astrophysics,Stanford
46,1102,Paper_1102,2002,Quantum Gravity,Oxford
47,1103,Paper_1103,2001,Astrophysics,Oxford
48,1104,Paper_1104,1998,Cosmology,ETH Zurich
49,1110,Paper_1110,2000,String Theory,Max Planck
50,1112,Paper_1112,1992,Particle Physics,MIT
51,1113,Paper_1113,2002,Cosmology,Cambridge
52,1119,Paper_1119,2002,String Theory,MIT
53,1120,Paper_1120,1996,High Energy Physics,Stanford
54,1122,Paper_1122,1999,Astrophysics,Cambridge
55,1123,Paper_1123,2000,Quantum Gravity,Max Planck
56,1124,Paper_1124,1993,Particle Physics,Cambridge
57,1128,Paper_1128,2002,Cosmology,Harvard
58,1129,Paper_1129,1995,Quantum Gravity,Princeton
59,1130,Paper_1130,1994,Cosmology,Max Planck
60,1133,Paper_1133,1992,Cosmology,Princeton
61,1140,Paper_1140,1999,Astrophysics,MIT
62,1142,Paper_1142,1997,String Theory,Caltech
63,1145,Paper_1145,1992,Quantum Gravity,Harvard
64,1146,Paper_1146,1993,Astrophysics,ETH Zurich
65,1147,Paper_1147,1993,Cosmology,Stanford
66,1150,Paper_1150,1994,Particle Physics,ETH Zurich
67,1151,Paper_1151,2000,Quantum Gravity,Cambridge
68,1152,Paper_1152,2000,Cosmology,Oxford
69,1158,Paper_1158,1995,Cosmology,Caltech
70,1161,Paper_1161,2003,String Theory,Oxford
71,1162,Paper_1162,2002,Particle Physics,Princeton
72,1163,Paper_1163,1999,Cosmology,ETH Zurich
73,1166,Paper_1166,1993,Quantum Gravity,Caltech
74,1169,Paper_1169,1993,String Theory,CERN
75,1170,Paper_1170,2001,Cosmology,Caltech
76,1171,Paper_1171,2001,Quantum Gravity,CERN
77,1172,Paper_1172,1993,Particle Physics,CERN
78,1173,Paper_1173,1995,Astrophysics,CERN
79,1174,Paper_1174,1997,Astrophysics,Max Planck
80,1175,Paper_1175,1995,String Theory,ETH Zurich
81,1177,Paper_1177,1995,Cosmology,Stanford
82,1178,Paper_1178,2003,Cosmology,Harvard
83,1188,Paper_1188,1999,Quantum Gravity,ETH Zurich
84,1189,Paper_1189,1998,Quantum Gravity,MIT
85,1192,Paper_1192,1993,Particle Physics,Oxford
86,1194,Paper_1194,1997,High Energy Physics,Oxford
87,1196,Paper_1196,1999,Particle Physics,CERN
88,1200,Paper_1200,2002,Particle Physics,MIT
89,1202,Paper_1202,1992,High Energy Physics,Princeton
90,1203,Paper_1203,1993,Quantum Gravity,Caltech
91,1204,Paper_1204,1995,Cosmology,ETH Zurich
92,1205,Paper_1205,1994,High Energy Physics,Stanford
93,1208,Paper_1208,1996,High Energy Physics,Caltech
94,1211,Paper_1211,1993,High Energy Physics,Max Planck
95,1212,Paper_1212,1993,Astrophysics,Max Planck
96,1215,Paper_1215,1992,Astrophysics,Caltech
97,1216,Paper_1216,1994,High Energy Physics,ETH Zurich
98,1218,Paper_1218,1999,Quantum Gravity,Oxford
99,1219,Paper_1219,1992,Quantum Gravity,Oxford
100,1224,Paper_1224,1992,High Energy Physics,Cambridge
101,1225,Paper_1225,1999,String Theory,Oxford
102,1226,Paper_1226,2003,Particle Physics,Max Planck
103,1229,Paper_1229,2002,Particle Physics,ETH Zurich
104,1230,Paper_1230,1994,Quantum Gravity,Cambridge
105,1231,Paper_1231,1995,Astrophysics,Harvard
106,1236,Paper_1236,2003,Cosmology,CERN
107,1237,Paper_1237,2003,String Theory,CERN
108,1243,Paper_1243,1992,Cosmology,ETH Zurich
109,1244,Paper_1244,2000,Cosmology,Stanford
110,1246,Paper_1246,1992,Cosmology,MIT
111,1248,Paper_1248,1994,Astrophysics,Harvard
112,1249,Paper_1249,1993,Particle Physics,Caltech
113,1253,Paper_1253,1998,Astrophysics,Harvard
114,1254,Paper_1254,1995,Cosmology,Harvard
115,1255,Paper_1255,1992,Cosmology,MIT
116,1259,Paper_1259,1998,Particle Physics,Harvard
117,1260,Paper_1260,2001,Cosmology,Princeton
118,1261,Paper_1261,1996,Quantum Gravity,Princeton
119,1264,Paper_1264,1995,String Theory,Oxford
120,1266,Paper_1266,1994,Particle Physics,Cambridge
121,1268,Paper_1268,1999,String Theory,MIT
122,1271,Paper_1271,1992,High Energy Physics,Harvard
123,1272,Paper_1272,2001,Astrophysics,MIT
124,1273,Paper_1273,2000,Quantum Gravity,Max Planck
125,1274,Paper_1274,1996,Quantum Gravity,Princeton
