database,metric,run_01,run_02,run_03,median,min,max,mean,std_dev,cv_pct
CognoDB Cloud,Ingest Nodes/sec,10629.89,10595.41,10846.89,10629.89,10595.41,10846.89,10690.73,111.32,1.04
CognoDB Cloud,Ingest Rels/sec,9438.93,9496.97,9479.41,9479.41,9438.93,9496.97,9471.77,24.3,0.26
CognoDB Cloud,Ingest Node Time (s),1.723,1.729,1.689,1.723,1.689,1.729,1.714,0.018,1.03
CognoDB Cloud,Ingest Rel Time (s),13.243,13.162,13.186,13.186,13.162,13.243,13.197,0.034,0.26
CognoDB Cloud,Ingest Wall Clock (s),16.598,16.524,16.609,16.598,16.524,16.609,16.577,0.038,0.23
CognoDB Cloud,1-Hop Cold Latency (ms),45.681,45.935,45.197,45.681,45.197,45.935,45.604,0.306,0.67
CognoDB Cloud,1-Hop p50 (ms),45.02,45.459,44.817,45.02,44.817,45.459,45.099,0.268,0.59
CognoDB Cloud,1-Hop p95 (ms),51.0,66.727,51.1,51.1,51.0,66.727,56.276,7.39,13.13
CognoDB Cloud,2-Hop Cold Latency (ms),46.263,47.889,43.242,46.263,43.242,47.889,45.798,1.925,4.2
CognoDB Cloud,2-Hop p50 (ms),46.158,46.003,45.468,46.003,45.468,46.158,45.876,0.296,0.64
CognoDB Cloud,2-Hop p95 (ms),58.704,58.732,57.884,58.704,57.884,58.732,58.44,0.393,0.67
CognoDB Cloud,3-Hop Cold Latency (ms),43.713,46.879,43.165,43.713,43.165,46.879,44.586,1.637,3.67
CognoDB Cloud,3-Hop p50 (ms),46.092,45.924,45.347,45.924,45.347,46.092,45.788,0.319,0.7
CognoDB Cloud,3-Hop p95 (ms),507.486,539.515,565.134,539.515,507.486,565.134,537.378,23.583,4.39
CognoDB Cloud,Point Lookup p50 (ms),45.313,45.564,45.416,45.416,45.313,45.564,45.431,0.103,0.23
CognoDB Cloud,Point Lookup p95 (ms),48.928,51.539,57.867,51.539,48.928,57.867,52.778,3.753,7.11
CognoDB Cloud,Indexed Lookup p50 (ms),56.159,57.044,55.55,56.159,55.55,57.044,56.251,0.613,1.09
CognoDB Cloud,Indexed Lookup p95 (ms),103.579,111.904,97.589,103.579,97.589,111.904,104.357,5.87,5.62
CognoDB Cloud,Count Agg p50 (ms),89.783,91.543,88.213,89.783,88.213,91.543,89.846,1.36,1.51
CognoDB Cloud,Count Agg p95 (ms),100.886,100.94,96.184,100.886,96.184,100.94,99.337,2.229,2.24
CognoDB Cloud,GroupBy Agg p50 (ms),96.502,96.999,96.951,96.951,96.502,96.999,96.817,0.224,0.23
CognoDB Cloud,GroupBy Agg p95 (ms),146.328,155.363,166.675,155.363,146.328,166.675,156.122,8.324,5.33
CognoDB Cloud,Concurrency 1 QPS,21.6,20.05,21.69,21.6,20.05,21.69,21.11,0.75,3.57
CognoDB Cloud,Concurrency 1 p50 (ms),44.549,46.855,44.544,44.549,44.544,46.855,45.316,1.088,2.4
CognoDB Cloud,Concurrency 1 p95 (ms),54.208,60.902,54.043,54.208,54.043,60.902,56.384,3.195,5.67
CognoDB Cloud,Concurrency 10 QPS,168.83,165.2,165.57,165.57,165.2,168.83,166.53,1.63,0.98
CognoDB Cloud,Concurrency 10 p50 (ms),47.373,48.235,47.531,47.531,47.373,48.235,47.713,0.375,0.79
CognoDB Cloud,Concurrency 10 p95 (ms),62.145,64.476,63.951,63.951,62.145,64.476,63.524,0.998,1.57
CognoDB Cloud,Concurrency 40 QPS,204.2,202.22,196.4,202.22,196.4,204.2,200.94,3.31,1.65
CognoDB Cloud,Concurrency 40 p50 (ms),89.38,95.46,95.792,95.46,89.38,95.792,93.544,2.948,3.15
CognoDB Cloud,Concurrency 40 p95 (ms),358.43,292.023,462.473,358.43,292.023,462.473,370.975,70.149,18.91
Memgraph,Ingest Nodes/sec,48435.28,31222.68,41663.51,41663.51,31222.68,48435.28,40440.49,7080.03,17.51
Memgraph,Ingest Rels/sec,84223.17,81896.88,81846.64,81896.88,81846.64,84223.17,82655.56,1108.66,1.34
Memgraph,Ingest Node Time (s),0.378,0.587,0.44,0.44,0.378,0.587,0.468,0.088,18.71
Memgraph,Ingest Rel Time (s),1.484,1.526,1.527,1.526,1.484,1.527,1.512,0.02,1.33
Memgraph,Ingest Wall Clock (s),2.219,2.639,2.463,2.463,2.219,2.639,2.44,0.172,7.06
Memgraph,1-Hop Cold Latency (ms),1.86,1.961,2.588,1.961,1.86,2.588,2.136,0.322,15.07
Memgraph,1-Hop p50 (ms),0.517,0.719,0.491,0.517,0.491,0.719,0.576,0.102,17.7
Memgraph,1-Hop p95 (ms),0.852,1.813,0.865,0.865,0.852,1.813,1.177,0.45,38.24
Memgraph,2-Hop Cold Latency (ms),1.632,1.144,1.745,1.632,1.144,1.745,1.507,0.261,17.31
Memgraph,2-Hop p50 (ms),0.513,0.67,0.479,0.513,0.479,0.67,0.554,0.083,15.02
Memgraph,2-Hop p95 (ms),1.09,1.693,0.771,1.09,0.771,1.693,1.185,0.382,32.27
Memgraph,3-Hop Cold Latency (ms),0.488,0.912,0.735,0.735,0.488,0.912,0.712,0.174,24.43
Memgraph,3-Hop p50 (ms),0.568,0.637,0.519,0.568,0.519,0.637,0.575,0.048,8.42
Memgraph,3-Hop p95 (ms),1.884,2.197,1.562,1.884,1.562,2.197,1.881,0.259,13.78
Memgraph,Point Lookup p50 (ms),0.482,0.603,0.474,0.482,0.474,0.603,0.52,0.059,11.36
Memgraph,Point Lookup p95 (ms),0.697,1.019,0.571,0.697,0.571,1.019,0.762,0.189,24.75
Memgraph,Indexed Lookup p50 (ms),1.212,1.933,1.152,1.212,1.152,1.933,1.432,0.355,24.78
Memgraph,Indexed Lookup p95 (ms),1.965,2.669,1.543,1.965,1.543,2.669,2.059,0.464,22.56
Memgraph,Count Agg p50 (ms),8.562,9.69,7.935,8.562,7.935,9.69,8.729,0.726,8.32
Memgraph,Count Agg p95 (ms),52.652,52.714,52.007,52.652,52.007,52.714,52.458,0.32,0.61
Memgraph,GroupBy Agg p50 (ms),3.105,4.084,3.008,3.105,3.008,4.084,3.399,0.486,14.3
Memgraph,GroupBy Agg p95 (ms),7.113,19.792,5.872,7.113,5.872,19.792,10.926,6.29,57.57
Memgraph,Concurrency 1 QPS,2021.8,1579.44,2016.61,2016.61,1579.44,2021.8,1872.62,207.32,11.07
